C0008301  Choking
C2011819  hemorrhage on provocation of gingiva on palatal surface of right maxillary cuspid (physical finding)
C2011820  spontaneous hemorrhage of gingiva on palatal surface of right maxillary cuspid (physical finding)
C2011821  hemorrhage of gingiva on right maxillary first bicuspid
C2011822  hemorrhage of gingiva on buccal surface of right maxillary first bicuspid (physical finding)
C2011823  hemorrhage on provocation of gingiva on buccal surface of right maxillary first bicuspid (physical finding)
C2011824  spontaneous hemorrhage of gingiva on buccal surface of right maxillary first bicuspid (physical finding)
C2011825  hemorrhage of gingiva on distal surface of right maxillary first bicuspid (physical finding)
C2011826  hemorrhage on provocation of gingiva on distal surface of right maxillary first bicuspid
C2011827  spontaneous hemorrhage of gingiva on distal surface of right maxillary first bicuspid
C2011828  hemorrhage of gingiva on mesial surface of right maxillary first bicuspid (physical finding)
C2011829  hemorrhage on provocation of gingiva on mesial surface of right maxillary first bicuspid
C2011830  spontaneous hemorrhage of gingiva on mesial surface of right maxillary first bicuspid (physical finding)
C2011831  hemorrhage of gingiva on palatal surface of right maxillary first bicuspid (physical finding)
C2011832  hemorrhage on provocation of gingiva on palatal surface of right maxillary first bicuspid
C2011833  spontaneous hemorrhage of gingiva on palatal surface of right maxillary first bicuspid (physical finding)
C2011834  hemorrhage of gingiva on right maxillary first molar (physical finding)
C2011835  hemorrhage of gingiva on buccal surface of right maxillary first molar (physical finding)
C2011836  hemorrhage on provocation of gingiva on buccal surface of right maxillary first molar
C2011837  spontaneous hemorrhage of gingiva on buccal surface of right maxillary first molar (physical finding)
C2011838  hemorrhage of gingiva on distal surface of right maxillary first molar
C2011839  hemorrhage on provocation of gingiva on distal surface of right maxillary first molar
C2011840  spontaneous hemorrhage of gingiva on distal surface of right maxillary first molar
C2011841  hemorrhage of gingiva on mesial surface of right maxillary first molar
C2011842  hemorrhage on provocation of gingiva on mesial surface of right maxillary first molar (physical finding)
C2011843  spontaneous hemorrhage of gingiva on mesial surface of right maxillary first molar
C2011844  hemorrhage of gingiva on palatal surface of right maxillary first molar (physical finding)
C2011845  hemorrhage on provocation of gingiva on palatal surface of right maxillary first molar
C2011846  spontaneous hemorrhage of gingiva on palatal surface of right maxillary first molar
C2011847  hemorrhage of gingiva on right maxillary lateral incisor
C2011848  hemorrhage of gingiva on distal surface of right maxillary lateral incisor (physical finding)
C2011849  hemorrhage on provocation of gingiva on distal surface of right maxillary lateral incisor (physical finding)
C2011850  spontaneous hemorrhage of gingiva on distal surface of right maxillary lateral incisor (physical finding)
C2011851  hemorrhage of gingiva on labial surface of right maxillary lateral incisor
C2011852  hemorrhage on provocation of gingiva on labial surface of right maxillary lateral incisor
C2011853  spontaneous hemorrhage of gingiva on labial surface of right maxillary lateral incisor
C2011854  hemorrhage of gingiva on mesial surface of right maxillary lateral incisor
C2011855  hemorrhage on provocation of gingiva on mesial surface of right maxillary lateral incisor (physical finding)
C2011856  spontaneous hemorrhage of gingiva on mesial surface of right maxillary lateral incisor
C2011857  hemorrhage of gingiva on palatal surface of right maxillary lateral incisor (physical finding)
C2011858  hemorrhage on provocation of gingiva on palatal surface of right maxillary lateral incisor
C2011859  spontaneous hemorrhage of gingiva on palatal surface of right maxillary lateral incisor (physical finding)
C2011860  hemorrhage of gingiva on right maxillary second bicuspid (physical finding)
C2011861  hemorrhage of gingiva on buccal surface of right maxillary second bicuspid
C2011862  hemorrhage on provocation of gingiva on buccal surface of right maxillary second bicuspid (physical finding)
C2011863  spontaneous hemorrhage of gingiva on buccal surface of right maxillary second bicuspid (physical finding)
C2011864  hemorrhage of gingiva on distal surface of right maxillary second bicuspid
C2011865  hemorrhage on provocation of gingiva on distal surface of right maxillary second bicuspid (physical finding)
C2011866  spontaneous hemorrhage of gingiva on distal surface of right maxillary second bicuspid (physical finding)
C2011867  hemorrhage of gingiva on mesial surface of right maxillary second bicuspid
C2011868  hemorrhage on provocation of gingiva on mesial surface of right maxillary second bicuspid (physical finding)
C2011869  spontaneous hemorrhage of gingiva on mesial surface of right maxillary second bicuspid (physical finding)
C2011870  hemorrhage of gingiva on palatal surface of right maxillary second bicuspid
C2011871  hemorrhage on provocation of gingiva on palatal surface of right maxillary second bicuspid
C2011872  spontaneous hemorrhage of gingiva on palatal surface of right maxillary second bicuspid (physical finding)
C2011873  hemorrhage of gingiva on right maxillary second molar
C2011874  hemorrhage of gingiva on buccal surface of right maxillary second molar (physical finding)
C2011875  hemorrhage on provocation of gingiva on buccal surface of right maxillary second molar
C2011876  spontaneous hemorrhage of gingiva on buccal surface of right maxillary second molar
C2011877  hemorrhage of gingiva on distal surface of right maxillary second molar (physical finding)
C2011878  hemorrhage on provocation of gingiva on distal surface of right maxillary second molar
C2011879  spontaneous hemorrhage of gingiva on distal surface of right maxillary second molar
C2011880  hemorrhage of gingiva on mesial surface of right maxillary second molar (physical finding)
C2011881  hemorrhage on provocation of gingiva on mesial surface of right maxillary second molar
C2011882  spontaneous hemorrhage of gingiva on mesial surface of right maxillary second molar
C2011883  hemorrhage of gingiva on palatal surface of right maxillary second molar (physical finding)
C2011884  hemorrhage on provocation of gingiva on palatal surface of right maxillary second molar (physical finding)
C2011885  spontaneous hemorrhage of gingiva on palatal surface of right maxillary second molar (physical finding)
C2011886  hemorrhage of gingiva on right maxillary third molar (physical finding)
C2011887  hemorrhage of gingiva on buccal surface of right maxillary third molar (physical finding)
C2011888  hemorrhage on provocation of gingiva on buccal surface of right maxillary third molar (physical finding)
C2011889  spontaneous hemorrhage of gingiva on buccal surface of right maxillary third molar (physical finding)
C2011890  hemorrhage of gingiva on distal surface of right maxillary third molar (physical finding)
C2011891  hemorrhage on provocation of gingiva on distal surface of right maxillary third molar
C2011892  spontaneous hemorrhage of gingiva on distal surface of right maxillary third molar
C2011893  hemorrhage of gingiva on mesial surface of right maxillary third molar (physical finding)
C2011894  hemorrhage on provocation of gingiva on mesial surface of right maxillary third molar (physical finding)
C2011895  spontaneous hemorrhage of gingiva on mesial surface of right maxillary third molar (physical finding)
C2011896  hemorrhage of gingiva on palatal surface of right maxillary third molar (physical finding)
C2011897  hemorrhage on provocation of gingiva on palatal surface of right maxillary third molar
C2011898  spontaneous hemorrhage of gingiva on palatal surface of right maxillary third molar (physical finding)
C2011899  gums gingival hypertrophy mandibular labial
C2011900  gums gingival hypertrophy mandibular left
C2011901  gums gingival hypertrophy mandibular lingual
C2011902  gums gingival hypertrophy mandibular lingual anterior
C2011903  gums gingival hypertrophy mandibular lingual left
C2011904  gums gingival hypertrophy mandibular lingual right
C2011905  gums gingival hypertrophy mandibular right
C2011906  gums gingival hypertrophy maxillary
C2011907  gums gingival hypertrophy maxillary buccal
C2011908  gums gingival hypertrophy maxillary buccal left
C2011909  gums gingival hypertrophy maxillary buccal right
C2011910  gums gingival hypertrophy maxillary labial
C2011911  gums gingival hypertrophy maxillary left
C2011912  gums gingival hypertrophy maxillary palatal
