C0000804  Abortion, Criminal
C2052840  penis laceration shaft Y-shaped
C2053178  clitoris laceration periclitoral
C2054190  talipes calcaneovalgus of left foot (physical finding)
C2054191  talipes calcaneovalgus of right foot (physical finding)
C2054192  feet talipes calcaneus left
C2054193  talipes calcaneus of right foot (physical finding)
C2054194  feet talipes equinovalgus left
C2054195  talipes equinovalgus of right foot (physical finding)
C2054196  talipes equinovarus of left foot (physical finding)
C2054197  feet talipes equinovarus right
C2054198  talipes equinus of left foot
C2054199  feet talipes equinus right
C2054200  feet talipes left
C2054201  talipes of right foot
C2054202  feet talipes valgus bilaterally
C2054203  feet talipes valgus left
C2054204  feet talipes valgus left forefoot
C2054205  feet talipes valgus left forefoot compensated
C2054206  feet talipes valgus left forefoot uncompensated
C2054207  feet talipes valgus left functional
C2054208  feet talipes valgus left rear foot
C2054209  feet talipes valgus left rear foot compensated
C2054210  feet talipes valgus left rear foot uncompensated
C2054211  feet talipes valgus left static
C2054212  feet talipes valgus right
C2054213  feet talipes valgus right forefoot
C2054214  feet talipes valgus right forefoot compensated
C2054215  feet talipes valgus right forefoot uncompensated
C2054216  feet talipes valgus right functional
C2054217  feet talipes valgus right rear foot
C2054218  feet talipes valgus right rear foot compensated
C2054219  feet talipes valgus right rear foot uncompensated
C2054220  feet talipes valgus right static
C2054297  technician attended birth (physical finding)
C2054460  teeth malformed single central incisor
C2054461  wedge-shaped tooth
C2055656  tender left vulvar mass
C2055659  penis lesion ulcer tender
C2055665  tender right vulvar mass (physical finding)
C2055679  tender vaginal mass
C2055680  tender vaginal ulcer (physical finding)
C2055683  tender vulvar ulcer (physical finding)
C2055770  tenderness of dorsal portion of glans penis (physical finding)
C2055793  penis tenderness glans
C2055815  tenderness of lower outer quadrant of left breast
C2055816  tenderness of lower outer quadrant of right breast
C2055817  tenderness of inferior medial quadrant of left breast (physical finding)
C2055818  tenderness of inferior medial quadrant of right breast
C2055828  penis tenderness glans lateral
C2055829  penis tenderness shaft lateral
C2055854  tenderness of left lateral portion of glans penis (physical finding)
C2056008  tenderness of right lateral portion of glans penis
C2056080  tenderness of upper outer quadrant of left breast
C2056081  tenderness of upper outer quadrant of right breast
C2056082  tenderness of upper inner quadrant of left breast
C2056083  tenderness of superior medial quadrant of right breast
C2056102  penis tenderness glans ventral
C2056103  tenderness of ventral shaft of penis
C2056627  tenderness on palpation of left breast
C2056723  tenderness on palpation of right breast (physical finding)
C2057549  size of testicular nodule
C2057550  the testes were palpable in the inguinal canal at birth
C2057551  both testes were palpable in the inguinal canal at birth
C2057552  the left testis was palpable in the inguinal canal at birth
C2057553  the right testis was palpable in the inguinal canal at birth
C2057554  the testes were palpable in the lower scrotum at birth
C2057555  both testes were palpable in the lower scrotum at birth
C2057556  the left testis was palpable in the lower scrotum at birth
C2057557  the right testis was palpable in the lower scrotum at birth
C2057558  the testes were palpable in the upper scrotum at birth
C2057559  both testes were palpable in the upper scrotum at birth
C2057560  the left testis was palpable in the upper scrotum at birth
C2057561  the right testis was palpable in the upper scrotum at birth
C2057586  tuberculosis of testis bacteriology and histology not done
C2057587  tuberculosis of testis bacteriology and histology unknown (diagnosis)
C2057588  tuberculosis of testis in sputum: (+) culture (-) microscopy (diagnosis)
C2057591  tuberculosis of testis TB (+) histology, (-) bacteriology
C2057592  tuberculosis of testis TB in sputum: (+) microscopy (diagnosis)
C2058295  thoracic findings accessory nipple(s) left side only
C2058296  thoracic findings accessory nipple(s) right side only
C2059288  aortic catheterization interruption aortic arch between left carotid and subclavian arteries
C2059329  intravenous pyelography solitary mass lesion of kidney ___cm
C2059330  intravenous pyelography multiple mass lesions of kidney ___cm
C2059331  intravenous pyelography: solitary cyst of kidney (procedure)
C2059332  intravenous pyelography: multiple cysts of kidney
C2059333  intravenous pyelography: extravasation from kidney
C2059334  intravenous pyelography: extravasation from ureter (procedure)
C2059335  retrograde pyelogram kidney mass lesion solitary ___cm
C2059336  retrograde pyelogram: multiple mass lesions
C2059337  retrograde pyelogram: solitary cyst of kidney
C2059338  retrograde pyelogram: multiple cysts of kidney (procedure)
C2059339  retrograde pyelogram: solitary calculus of kidney (procedure)
C2059340  retrograde pyelogram: multiple calculi of kidney
C2059341  retrograde pyelogram: solitary calculus of ureter
C2059342  retrograde pyelogram: multiple calculi of ureter (procedure)
C2059348  abdominal computed tomography kidney cysts multiple
C2061817  head computed tomography foreign body frontal
C2061818  head computed tomography foreign body temporal
C2061819  head computed tomography foreign body parietal
C2061820  head computed tomography foreign body occipital
C2061821  head computed tomography foreign body basal ganglia
C2061823  head computed tomography foreign body frontal right
C2061824  head computed tomography foreign body frontal left
C2061825  head computed tomography foreign body temporal right
C2061826  head computed tomography foreign body parietal right
C2061827  head computed tomography foreign body occipital right
C2061828  head computed tomography foreign body basal ganglia right
C2061830  head computed tomography foreign body temporal left
C2061831  head computed tomography foreign body parietal left
C2061832  head computed tomography foreign body occipital left
C2061833  head computed tomography foreign body basal ganglia left
C2061838  X-ray UGI small bowel diverticula
C2061839  X-ray UGI small bowel ulcer
C2061840  echocardiogram L ventricle aneurysm anterior wall
C2061841  echocardiogram L ventricle aneurysm anterior wall well-demarcated
C2061842  echocardiogram L ventricle aneurysm anterior wall poorly demarcated
C2061843  echocardiogram L ventricle aneurysm inferior wall
C2061844  echocardiogram L ventricle aneurysm inferior wall well-demarcated
C2061845  echocardiogram L ventricle aneurysm inferior wall poorly demarcated
C2061846  echocardiogram L ventricle aneurysm posterior wall
C2061847  echocardiogram L ventricle aneurysm posterior wall well-demarcated
C2061848  echocardiography: poorly demarcated aneurysm of posterior wall of left ventricle
C2061849  echocardiogram L ventricle aneurysm lateral wall
C2061850  echocardiogram L ventricle aneurysm lateral wall well-demarcated
C2061851  echocardiogram L ventricle aneurysm lateral wall poorly demarcated
C2061852  echocardiogram L ventricle aneurysm septal wall
C2061853  echocardiogram L ventricle aneurysm septal wall well-demarcated
C2061854  echocardiogram L ventricle aneurysm septal wall poorly demarcated
C2062051  X-ray lumbosacral spine fracture burst
C2062302  X-ray lumbosacral spine fracture pediatric greenstick
C2063014  hemorrhage during pregnancy before 23rd gestational week (diagnosis)
C2063015  pregnancy complicated by benign essential hypertension (diagnosis)
C2063016  pregnancy complicated by hypertension secondary to renal disease (diagnosis)
C2063180  old perineal laceration (diagnosis)
C2063577  concordant atrioventricular connection
C2063666  post ureterostomy
C2064500  location of neoplasm of bladder
C2064504  location of urethral carcinoma
C2064678  large intestine biopsy benign Gardner's syndrome
C2064679  large intestine biopsy benign sigmoid polyps (procedure)
C2064681  large intestine biopsy benign Turcot's syndrome (procedure)
C2069890  microphthalmia of right eye (physical finding)
C2069891  microphthalmia of left eye (physical finding)
C2069922  vascular anomalies of right upper eyelid (physical finding)
C2069923  vascular anomalies of left upper eyelid (physical finding)
C2069934  anophthalmos right eye
C2069935  anophthalmos of right eye with prosthesis (physical finding)
C2069936  anophthalmos of left eye
C2069937  anophthalmos of left eye with prosthesis (physical finding)
C2070073  embolus of retinal artery of right eye
C2070074  retinal arterial embolus of left eye (physical finding)
C2070075  retinal arterial embolus of both eyes (physical finding)
C2070416  fetus in occipitoanterior position at specified number of weeks
C2070417  fetus in right occipitoanterior position at specified number of weeks (physical finding)
C2070418  fetus in left occipitoanterior position at specified number of weeks
C2070424  fetus in brow position at specified number of weeks
C2070425  fetus in frontoanterior position at specified number of weeks (physical finding)
C2070426  fetus in right frontoanterior position at specified number of weeks
C2070427  fetus in left frontoanterior position at specified number of weeks
C2070428  fetus in frontoposterior position at specified number of weeks
C2070429  fetus in right frontoposterior position at specified number of weeks (physical finding)
C2070430  fetus in left frontoposterior position at specified number of weeks
C2070431  fetus in right frontotransverse position at specified number of weeks
C2070432  fetus in left frontotransverse position at specified number of weeks (physical finding)
C2070433  fetus in face position at specified number of weeks
C2070434  fetus in mentoanterior position at specified number of weeks (physical finding)
C2070435  fetus in right mentoanterior position at specified number of weeks (physical finding)
C2070436  fetus in left mentoanterior position at specified number of weeks (physical finding)
