C0003962  Ascites
C2037001  enlarged, tender right suboccipital lymph node (physical finding)
C2037267  anus tissue injury incision superficial
C2037268  anus tissue injury laceration superficial
C2037269  anus tissue injury wound superficial
C2037277  superficial femoral lymphadenopathy was seen
C2037417  supernumerary teeth were noted in multiple positions
C2037451  enlarged, fluctuant supraclavicular lymph nodes bilaterally
C2037452  enlarged, rubbery supraclavicular lymph nodes bilaterally (physical finding)
C2037453  enlarged supraclavicular lymph nodes bilaterally
C2037454  buboes of supraclavicular lymph nodes bilaterally (physical finding)
C2037455  consistency of bilaterally enlarged supraclavicular lymph nodes (physical finding)
C2037456  enlarged, fixed supraclavicular lymph nodes bilaterally (physical finding)
C2037457  enlarged, mobile supraclavicular lymph nodes bilaterally (physical finding)
C2037458  enlarged, suppurative supraclavicular lymph nodes bilaterally (physical finding)
C2037459  enlarged, tender supraclavicular lymph nodes bilaterally
C2037460  bubo of left supraclavicular lymph node
C2037461  consistency of enlarged left supraclavicular lymph node
C2037462  enlarged, fixed left supraclavicular lymph node (physical finding)
C2037463  enlarged, mobile left supraclavicular lymph node
C2037464  enlarged, suppurative left supraclavicular lymph node (physical finding)
C2037465  enlarged, tender left supraclavicular lymph node
C2037466  enlarged left supraclavicular lymph node (physical finding)
C2037467  multiple enlarged left supraclavicular lymph nodes
C2037468  single enlarged left supraclavicular lymph node (physical finding)
C2037469  enlarged right supraclavicular lymph node
C2037470  multiple enlarged right supraclavicular lymph nodes (physical finding)
C2037471  single enlarged right supraclavicular lymph node (physical finding)
C2037472  bubo of right supraclavicular lymph node
C2037473  consistency of enlarged right supraclavicular lymph node
C2037474  enlarged, fixed right supraclavicular lymph node (physical finding)
C2037475  enlarged, mobile right supraclavicular lymph node
C2037476  enlarged, suppurative right supraclavicular lymph node
C2037477  enlarged, tender right supraclavicular lymph node
C2037950  surgical or traumatic scar across lower abdomen (physical finding)
C2037958  abdomen surgical / traumatic scar flank bilaterally
C2037960  surgical or traumatic scar on flank
C2037963  abdomen surgical / traumatic scar left flank
C2037965  surgical or traumatic scar on left lower quadrant of abdomen
C2037968  abdomen surgical / traumatic scar LUQ
C2037969  abdomen surgical or traumatic scar midline
C2037973  abdomen surgical / traumatic scar right flank
C2037975  abdomen surgical or traumatic scar right lower quadrant
C2037978  surgical or traumatic scar on right upper quadrant of abdomen (physical finding)
C2038659  swelling of both adenoids
C2038763  swelling of left adenoid (physical finding)
C2038809  swelling of left tonsil
C2038928  swelling of right adenoid
C2038977  swelling of right tonsil
C2040358  echocardiography: abscess of aortic root
C2040537  echocardiography: abscess of mitral valve annulus
C2040738  echocardiography: abscess of pulmonary valve (procedure)
C2041209  echocardiography: infarction of liver (procedure)
C2041211  echocardiography: infarction of spleen (procedure)
C2041423  barium swallow: elongated pyloric canal (procedure)
C2042025  abrasion of top of head (physical finding)
C2042048  rectal abscess anterior
C2042052  rectal abscess left side
C2042055  abscess of posterior rectum
C2042058  abscess of right side of rectum
C2045115  chancre on both nipples
C2045306  chancre on left nipple (physical finding)
C2045514  chancre on right nipple
C2046439  HIV-positive during pregnancy
C2047796  extent of hypopyon of left eye (physical finding)
C2047797  extent of hypopyon of right eye (physical finding)
C2048438  improper nutrition
C2048439  edema due to improper nutrition
C2048440  mild improper nutrition (diagnosis)
C2048441  moderate improper nutrition (diagnosis)
C2048442  severe improper nutrition (diagnosis)
C2049073  indurated incision of anus (physical finding)
C2049074  indurated wound of anus (physical finding)
C2049827  infection of fingers of both hands (physical finding)
C2049828  infection of finger of left hand
C2049829  infection of finger of right hand (physical finding)
C2049830  infection of index finger (physical finding)
C2049831  infection of index fingers of both hands
C2049832  infection of index finger of left hand
C2049833  infection of index finger of right hand (physical finding)
C2049837  infection of little finger
C2049838  infection of little finger of both hands (physical finding)
C2049839  infection of little finger of left hand (physical finding)
C2049840  infection of little finger of right hand (physical finding)
C2049841  infection of middle finger
C2049842  infection of middle finger of both hands (physical finding)
C2049843  infection of middle finger of left hand (physical finding)
C2049844  infection of middle finger of right hand (physical finding)
C2049845  infection of ring finger
C2049846  infection of ring finger of both hands (physical finding)
C2049847  infection of ring finger of left hand (physical finding)
C2049848  infection of ring finger of right hand (physical finding)
C2049849  infection of both thumbs (physical finding)
C2049850  infection of left thumb
C2049851  infection of right thumb (physical finding)
C2051913  computed tomography of pelvis: lymph nodes calcified (procedure)
C2051914  computed tomography of pelvis: lymph nodes enlarged (procedure)
C2054287  a technetium liver scan showed hepatomegaly
C2054460  teeth malformed single central incisor
C2054461  wedge-shaped tooth
C2055650  tender femoral hernia (physical finding)
C2055652  tender incisional abdominal hernia (physical finding)
C2055653  tenderness over inguinal hernia
C2055660  tender periumbilical hernia (physical finding)
C2055678  abdomen hernia umbilical tender
C2055682  tender ventral abdominal hernia
C2057586  tuberculosis of testis bacteriology and histology not done
C2057587  tuberculosis of testis bacteriology and histology unknown (diagnosis)
C2057588  tuberculosis of testis in sputum: (+) culture (-) microscopy (diagnosis)
C2057591  tuberculosis of testis TB (+) histology, (-) bacteriology
C2057592  tuberculosis of testis TB in sputum: (+) microscopy (diagnosis)
C2058178  erythema of both thighs
C2058179  erythema of left thigh (physical finding)
C2058180  erythema of anterior aspect of left thigh
C2058181  erythema of left distal thigh
C2058182  erythema of anterior aspect of left distal thigh
C2058183  circumferential erythema of left distal thigh (physical finding)
C2058184  erythema of lateral aspect of left distal thigh (physical finding)
C2058185  erythema of medial aspect of left distal thigh (physical finding)
C2058186  erythema of posterior aspect of left distal thigh (physical finding)
C2058187  erythema of lateral aspect of left thigh
C2058188  erythema of medial aspect of left thigh
C2058189  erythema of left mid thigh
C2058190  erythema of anterior aspect of left mid thigh (physical finding)
C2058191  circumferential erythema of left mid thigh (physical finding)
C2058192  erythema of lateral aspect of left mid thigh (physical finding)
C2058193  erythema of medial aspect of left mid thigh (physical finding)
C2058194  erythema of posterior aspect of left mid thigh
C2058195  erythema of posterior aspect of left thigh
C2058196  erythema of left proximal thigh (physical finding)
C2058197  erythema of anterior aspect of left proximal thigh (physical finding)
C2058198  circumferential erythema of left proximal thigh
C2058199  erythema of lateral aspect of left proximal thigh (physical finding)
C2058200  erythema of medial aspect of left proximal thigh (physical finding)
C2058201  erythema of posterior aspect of left proximal thigh (physical finding)
C2058202  erythema of right thigh (physical finding)
C2058203  erythema of anterior aspect of right thigh (physical finding)
C2058204  erythema of right distal thigh
C2058205  erythema of anterior aspect of right distal thigh
C2058206  circumferential erythema of right distal thigh
C2058207  erythema of lateral aspect of right distal thigh (physical finding)
C2058208  erythema of medial aspect of right distal thigh (physical finding)
C2058209  erythema of posterior aspect of right distal thigh
C2058210  erythema of lateral aspect of right thigh (physical finding)
C2058211  erythema of medial aspect of right thigh
C2058212  erythema of right mid thigh
C2058213  erythema of anterior aspect of right mid thigh (physical finding)
C2058214  circumferential erythema of right mid thigh (physical finding)
C2058215  erythema of lateral aspect of right mid thigh (physical finding)
C2058216  erythema of medial aspect of right mid thigh
C2058217  erythema of posterior aspect of right mid thigh (physical finding)
