C0020458  Hyperhidrosis
C2121686  mammogram previous mass #1 of inferior lateral quadrant of right breast with decreased spicules (procedure)
C2121687  the right breast inferior lateral quadrant mass spicules are unchanged
C2121688  mammogram previous mass #1 of inferior lateral quadrant of right breast with microcalcifications
C2121689  mammogram previous mass #1 of inferior lateral quadrant of right breast with increased microcalcifications
C2121690  mammogram previous mass #1 of inferior lateral quadrant of right breast with decreased microcalcifications (procedure)
C2121691  the right breast inferior lateral quadrant mass microcalcifications are unchanged
C2121693  R breast inferior lateral quad previous mass 2 size (___cm)
C2121694  R breast inferior lateral quad previous mass 2 size increase
C2121695  R breast inferior lateral quad previous mass 2 size decrease
C2121696  R breast inferior lateral quad previous mass 2 size unchange
C2121697  R breast inferior lateral quad previous mass 2 spicules
C2121698  mammogram previous mass #2 of inferior lateral quadrant of right breast with increased spicules (procedure)
C2121699  mammogram previous mass #2 of inferior lateral quadrant of right breast with decreased spicules (procedure)
C2121700  the right breast inferior lateral quadrant second mass spicules are unchanged
C2121701  mammogram previous mass #2 of inferior lateral quadrant of right breast with microcalcifications (procedure)
C2121702  mammogram previous mass #2 of inferior lateral quadrant of right breast with increased microcalcifications (procedure)
C2121703  mammogram previous mass #2 of inferior lateral quadrant of right breast with decreased microcalcifications (procedure)
C2121704  the right breast inferior lateral quadrant second mass microcalcifications are unchanged
C2121706  R breast inferior lateral quad previous mass 3 size (___cm)
C2121707  R breast inferior lateral quad previous mass 3 size increase
C2121708  R breast inferior lateral quad previous mass 3 size decrease
C2121709  R breast inferior lateral quad previous mass 3 size unchange
C2121710  R breast inferior lateral quad previous mass 3 spicules
C2121711  mammogram previous mass #3 of inferior lateral quadrant of right breast with increased spicules
C2121712  mammogram previous mass #3 of inferior lateral quadrant of right breast with decreased spicules
C2121713  the right breast inferior lateral quadrant third mass spicules are unchanged
C2121714  mammogram previous mass #3 of inferior lateral quadrant of right breast with microcalcifications (procedure)
C2121715  mammogram previous mass #3 of inferior lateral quadrant of right breast with increased microcalcifications
C2121716  mammogram previous mass #3 of inferior lateral quadrant of right breast with decreased microcalcifications
C2121717  the right breast inferior lateral quadrant third mass microcalcifications are unchanged
C2121719  R breast inferior lateral quad previous multiple mass number
C2121720  mammogram increased number of masses of inferior lateral quadrant of right breast (procedure)
C2121721  mammogram decreased number of masses of inferior lateral quadrant of right breast
C2121722  the number of right breast inferior lateral quadrant masses is unchanged
C2121723  R breast inferior lateral quad previous multiple mass area
C2121724  mammogram diffuse fibrosis of inferior lateral quadrant of right breast compared with previous result (procedure)
C2121725  mammogram increased diffuse fibrosis of inferior lateral quadrant of right breast compared with previous result
C2121726  mammogram decreased diffuse fibrosis of inferior lateral quadrant of right breast compared with previous result (procedure)
C2121727  mammogram unchanged diffuse fibrosis of inferior lateral quadrant of right breast compared with previous result
C2121728  mammogram diffuse calcification of inferior lateral quadrant of right breast compared with previous result (procedure)
C2121729  mammogram increased diffuse calcification of inferior lateral quadrant of right breast compared with previous result
C2121730  mammogram decreased diffuse calcification of inferior lateral quadrant of right breast compared with previous result (procedure)
C2121731  mammogram unchanged diffuse calcification of inferior lateral quadrant of right breast compared with previous result (procedure)
C2121732  mammogram superior medial quadrant of right breast compared with previous study (procedure)
C2121734  R breast superior medial quad previous mass 1 size (___cm)
C2121735  R breast superior medial quad previous mass 1 size increase
C2121736  R breast superior medial quad previous mass 1 size decrease
C2121737  R breast superior medial quad previous mass 1 size unchanged
C2121738  R breast superior medial quad previous mass 1 spicules
C2121739  mammogram previous mass #1 of superior medial quadrant of right breast with increased spicules (procedure)
C2121740  mammogram previous mass #1 of superior medial quadrant of right breast with decreased spicules
C2121741  the right breast superior medial quadrant mass spicules are unchanged
C2121742  mammogram previous mass #1 of superior medial quadrant of right breast with microcalcifications
C2121743  mammogram previous mass #1 of superior medial quadrant of right breast with increased microcalcifications (procedure)
C2121744  mammogram previous mass #1 of superior medial quadrant of right breast with decreased microcalcifications
C2121745  the right breast superior medial quadrant mass microcalcifications are unchanged
C2121747  R breast superior medial quad previous mass 2 size (___cm)
C2121748  R breast superior medial quad previous mass 2 size increase
C2121749  R breast superior medial quad previous mass 2 size decrease
C2121750  R breast superior medial quad previous mass 2 size unchanged
C2121751  R breast superior medial quad previous mass 2 spicules
C2121752  mammogram previous mass #2 of superior medial quadrant of right breast with increased spicules (procedure)
C2121753  mammogram previous mass #2 of superior medial quadrant of right breast with decreased spicules (procedure)
C2121754  the right breast superior medial quadrant second mass spicules are unchanged
C2121755  mammogram previous mass #2 of superior medial quadrant of right breast with microcalcifications
C2121756  mammogram previous mass #2 of superior medial quadrant of right breast with increased microcalcifications
C2121757  mammogram previous mass #2 of superior medial quadrant of right breast with decreased microcalcifications (procedure)
C2121758  the right breast superior medial quadrant second mass microcalcifications are unchanged
C2121760  R breast superior medial quad previous mass 3 size (___cm)
C2121761  R breast superior medial quad previous mass 3 size increase
C2121762  R breast superior medial quad previous mass 3 size decrease
C2121763  R breast superior medial quad previous mass 3 size unchange
C2121764  R breast superior medial quad previous mass 3 spicules
C2121765  mammogram previous mass #3 of superior medial quadrant of right breast with increased spicules (procedure)
C2121766  mammogram previous mass #3 of superior medial quadrant of right breast with decreased spicules
C2121767  the right breast superior medial quadrant third mass spicules are unchanged
C2121768  mammogram previous mass #3 of superior medial quadrant of right breast with microcalcifications (procedure)
C2121769  mammogram previous mass #3 of superior medial quadrant of right breast with increased microcalcifications (procedure)
C2121770  mammogram previous mass #3 of superior medial quadrant of right breast with decreased microcalcifications (procedure)
C2121771  the right breast superior medial quadrant third mass microcalcifications are unchanged
C2121773  R breast superior medial quad previous multiple mass number
C2121774  mammogram increased number of masses of superior medial quadrant of right breast
C2121775  mammogram decreased number of masses of superior medial quadrant of right breast
C2121776  the number of right breast superior medial quadrant masses is unchanged
C2121777  R breast superior medial quad previous multiple mass area
C2121778  mammogram diffuse fibrosis of superior medial quadrant of right breast compared with previous result
C2121779  mammogram increased diffuse fibrosis of superior medial quadrant of right breast compared with previous result
C2121780  mammogram decreased diffuse fibrosis of superior medial quadrant of right breast compared with previous result
C2121781  mammogram unchanged diffuse fibrosis of superior medial quadrant of right breast compared with previous result (procedure)
C2121782  mammogram diffuse calcification of superior medial quadrant of right breast compared with previous result (procedure)
C2121783  mammogram increased diffuse calcification of superior medial quadrant of right breast compared with previous result (procedure)
C2121784  mammogram decreased diffuse calcification of superior medial quadrant of right breast compared with previous result (procedure)
C2121785  mammogram unchanged diffuse calcification of superior medial quadrant of right breast compared with previous result
C2121791  mammogram of inferior medial quadrant of right breast compared with previous study (procedure)
C2121793  R breast inferior medial quad previous mass 1 size (___cm)
C2121794  R breast inferior medial quad previous mass 1 size increase
C2121795  R breast inferior medial quad previous mass 1 size decrease
C2121796  R breast inferior medial quad previous mass 1 size unchanged
